instance_seed,method,depth,qaoa_seed,jobs,nodes,penalty,f_opt,best_expectation,final_expectation,num_evaluations,restarts,maxiter,runtime_qaoa_s,optimizer,selected_objective,selection_rule,approx_ratio_selected,approx_ratio_mean_feasible,p_feasible,p_infeasible,p_optimal,best_feasible_objective,mean_feasible_objective,mean_objective_all,std_objective_all,most_likely_objective,most_likely_feasible,selected_overload,expectation_value,total_runtime_s,greedy_objective,greedy_overload,random_best_objective,random_mean_objective,random_p_optimal,sa_objective,sa_runtime_s
2,xy,3,1,6,3,,0.929981368206904,3243.254735037817,3243.254735037817,50,1,150,23.664052699998138,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00028674323917885446,0.9999999999999978,2.220446049250313e-15,0.0014335522243303603,0.929981368206904,3243.2547350378277,3243.2547350378272,2762.908353436223,603.9157590048997,True,0.0,3243.2547350378204,42.479061800004274,,,,,,,
2,soft,3,1,6,3,0.015365458006286697,0.929981368206904,4777.844877105938,4777.844877105938,51,1,150,28.96056790000148,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00036745153487262213,0.0031901696422788903,0.9968098303577211,1.674058604784206e-06,0.929981368206904,2530.89531529453,4777.757772485824,3574.079086126234,1978.0388948064538,False,0.0,4777.844877105912,57.722556100001384,,,,,,,
2,xy,1,2,6,3,,0.929981368206904,3353.712508547932,3353.712508547932,24,1,150,5.146441199998662,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00027729907254619263,1.0,0.0,2.6051631179059575e-05,0.929981368206904,3353.7125085479224,3353.7125085479224,2842.26116525988,2207.2178276217983,True,0.0,3353.712508547927,13.6406857999973,,,,,,,
2,soft,1,2,6,3,0.015365458006286697,0.929981368206904,4250.067767962973,4250.067767962973,30,1,150,29.111540799996874,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00027794777239473494,0.0037252053773515403,0.9962747946226485,1.3455188791003215e-07,0.929981368206904,3345.885308575764,4249.98282545422,3525.618648711605,2389.7755829530815,False,0.0,4250.067767962951,35.98876089999976,,,,,,,
2,xy,2,2,6,3,,0.929981368206904,3256.9435480401835,3256.9435480401835,36,1,150,22.309608800002025,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00028553806797372984,0.9999999999999952,4.773959005888173e-15,0.0010761069091661504,0.929981368206904,3256.943548040202,3256.9435480402026,2890.072652443589,2918.8987750313263,True,0.0,3256.9435480401867,25.31913920000079,,,,,,,
2,soft,2,2,6,3,0.015365458006286697,0.929981368206904,5446.855033792328,5446.855033792328,40,1,150,20.08590820000245,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.0002828758065651845,0.002865093108298608,0.9971349068917014,1.8533543130144115e-07,0.929981368206904,3287.595993093894,5446.764727111721,3983.080391669103,1028.6790150664524,False,0.0,5446.855033792299,23.744175700005144,,,,,,,
2,xy,3,2,6,3,,0.929981368206904,3117.1444049827637,3117.1444049827637,60,1,150,32.63937050000095,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00029834401214147194,0.9999999999999944,5.551115123125783e-15,0.002267499616105774,0.929981368206904,3117.1444049827805,3117.1444049827815,2714.7162730170753,6611.556813061832,True,0.0,3117.1444049827633,41.013027399996645,,,,,,,
2,soft,3,2,6,3,0.015365458006286697,0.929981368206904,4590.3852214552935,4590.3852214552935,53,1,150,29.23122549999971,COBYLA,0.929981368206904,best-feasible-in-distribution,1.0,0.00026816574154757275,0.0035646686803317306,0.9964353313196682,2.191082846442276e-06,0.929981368206904,3467.935027196324,4590.3007960055265,3491.767396537834,1661.0928906906395,False,0.0,4590.385221455275,45.33974529999978,,,,,,,
3,xy,1,0,6,3,,4.6361878475868,2607.6866811929904,2607.6866811929904,22,1,150,4.8914524000065285,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0017778929811712637,1.0,0.0,0.006977106482429971,4.6361878475868,2607.686681192988,2607.686681192989,1992.9147944956362,4423.579646870886,True,0.0,2607.686681192996,6.460756099993887,4.6361878475868,0.0,4.6361878475868,2637.785933479735,0.006,4.6361878475868,0.380339900002582
3,soft,1,0,6,3,0.19887018046597735,4.6361878475868,4222.532240570418,4222.532240570418,24,1,150,9.117164700001013,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.002016345296850316,0.002609441538493922,0.997390558461506,4.2733572282055755e-05,4.6361878475868,2299.3025325716167,4221.3289011232555,2940.330749482444,5371.700455569694,False,0.0,4222.532240570402,11.725025400002778,4.6361878475868,0.0,4.6361878475868,2637.785933479735,0.006,4.6361878475868,0.3099431000009645
3,xy,2,0,6,3,,4.6361878475868,2738.304433801679,2738.304433801679,37,1,150,14.825692200000049,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0016930870762058524,1.0,0.0,0.0058777332734951115,4.6361878475868,2738.3044338016753,2738.3044338016753,2036.4837056592141,2095.0823681986817,True,0.0,2738.304433801677,17.71234249999543,,,,,,,
3,soft,2,0,6,3,0.19887018046597735,4.6361878475868,4074.7583441373104,4074.7583441373104,34,1,150,17.176918600001954,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0015733965551436898,0.0017879584247517085,0.9982120415752483,1.4137011833988622e-06,4.6361878475868,2946.611159424715,4073.5940640806707,2972.0571308685417,2592.574204215292,False,0.0,4074.758344137289,20.470220899995184,,,,,,,
3,xy,3,0,6,3,,4.6361878475868,2898.9962121904823,2898.9962121904823,63,1,150,33.9908437999984,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0015992390152464874,1.0,0.0,0.0035853756421435944,4.6361878475868,2898.99621219048,2898.99621219048,2102.2699788579534,4480.042859995683,True,0.0,2898.996212190482,37.711238799995044,,,,,,,
3,soft,3,0,6,3,0.19887018046597735,4.6361878475868,4161.805153753279,4161.805153753279,69,1,150,38.208994300002814,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.001600585712149385,0.0035683319021792546,0.9964316680978208,3.796027178124376e-08,4.6361878475868,2896.557061827688,4160.623166860174,3024.0076238301526,13866.790357286882,False,0.0,4161.805153753254,71.69046879999951,,,,,,,
3,xy,1,1,6,3,,4.6361878475868,2596.3071274683325,2596.3071274683325,28,1,150,16.36197529999481,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0017856854447368734,0.9999999999999992,7.771561172376096e-16,0.00767426042619296,4.6361878475868,2596.3071274683307,2596.3071274683307,1962.558190618158,3028.6702533949924,True,0.0,2596.307127468329,22.36825449999742,,,,,,,
3,soft,1,1,6,3,0.19887018046597735,4.6361878475868,4161.4970427878725,4161.4970427878725,26,1,150,5.63238189999538,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0018579100475682327,0.002715826731664428,0.9972841732683355,2.4753249592528698e-05,4.6361878475868,2495.377994028817,4160.30272428225,2868.1947064316923,6264.892553929096,False,0.0,4161.497042787854,10.18293740000081,,,,,,,
3,xy,2,1,6,3,,4.6361878475868,2872.029975484067,2872.029975484067,36,1,150,14.26468069999828,COBYLA,4.6361878475868,best-feasible-in-distribution,1.0,0.0016142546864627953,0.9999999999999969,3.1086244689504383e-15,0.0004947316348982927,4.6361878475868,2872.029975484078,2872.0299754840785,2105.434168775368,7337.850761636284,True,0.0,2872.0299754840694,20.10745499999757,,,,,,,
